"sep=;"
Id;Designator;Footprint;Quantity;Value;Supplier and ref
1;3V3/TS1;SamacSys_Parts:DG30825403P1400AH;1;J13;
2;5V1;SamacSys_Parts:DG30825402P1400AH;1;JP3;
3;12V1;SamacSys_Parts:DG30825403P1400AH;1;JP4;
4;A1;Module:Arduino_Nano;1;Arduino_Nano;
5;BRK/TMP1;SamacSys_Parts:DG30825403P1400AH;1;J12;
6;C1,C2,C8;Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;3;100nF;
7;C3,C9;Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;2;10nF;
8;C5;Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;1;1nF;
9;C6;Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;1;10uF;
10;CUR1;SamacSys_Parts:DG30825403P1400AH;1;JP6;
11;D1,D2;Diode_SMD:D_MELF;2;SM4007;
12;J1;TerminalBlock:TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal;1;UART;
13;J2;TerminalBlock:TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal;1;SPI;
14;J3;New_Library_Footprint:HOLE;1;D9;
15;J4;New_Library_Footprint:HOLE;1;D4;
16;J5;New_Library_Footprint:HOLE;1;A2;
17;J6;New_Library_Footprint:HOLE;1;PAS2;
18;J7;New_Library_Footprint:HOLE;1;TIN;
19;J8;New_Library_Footprint:HOLE;1;BAT;
20;J9;New_Library_Footprint:HOLE;1;CUR;
21;J10;New_Library_Footprint:HOLE;1;TO;
22;PAS1;SamacSys_Parts:DG30825403P1400AH;1;J11;
23;R1,R3,R5,R6,R16,R17,R19-R21,R23,R29,R35,R36,R39-R41;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;16;1K;
24;R2,R4,R22,R25,R26;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;5;2K2;
25;R9,R12;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;100K;
26;R10,R11,R24,R27,R28,R30,R37,R38;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;8;10K;
27;R13,R14;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;75k;
28;R15;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;4k7;
29;R18;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;2.2K;
30;SCR1;SamacSys_Parts:DG30825403P1400AH;1;JP7;
31;SCR2;SamacSys_Parts:DG30825403P1400AH;1;JP8;
32;SPD/TOT1;SamacSys_Parts:DG30825403P1400AH;1;JP9;
33;SW1,SW2;Button_Switch_THT:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm;2;SW_DIP_x02;
34;SW3;SamacSys_Parts:DG30825402P1400AH;1;JP1;
35;TIN1;SamacSys_Parts:DG30825403P1400AH;1;J10;
36;U2;New_Library_Footprint:ADS1115PCB;1;~;
37;U3;New_Library_Footprint:12V Step-Down;1;Step-down 12V;
38;U4;New_Library_Footprint:5V Step-Down;1;Step-down 5V;
39;UART1;SamacSys_Parts:DG30825402P1400AH;1;JP2;
40;VIN1;SamacSys_Parts:DG30825403P1400AH;1;JP5;
